"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,49.9893157499085,5.3594518995677
"2",2022-03-08 00:00:05,1,303,100,50.4593577070265,5.91443582477352
"3",2022-03-08 00:00:10,1,303,100,50.6427857006729,5.77169342725623
"4",2022-03-08 00:00:15,1,303,100,50.8981462101316,5.58602757996528
"5",2022-03-08 00:00:20,1,303,100,51.884748528222,6.13160332869816
"6",2022-03-08 00:00:25,1,303,100,49.2481714595823,5.41874851092271
"7",2022-03-08 00:00:30,1,303,100,50.6213283801905,6.65610731210811
"8",2022-03-08 00:00:35,1,303,100,51.0909773694621,6.04631330200119
"9",2022-03-08 00:00:40,1,303,100,51.0666384728551,5.60060565246631
"10",2022-03-08 00:00:45,1,303,100,51.303124252363,6.235387696838
"11",2022-03-08 00:00:50,1,303,100,50.8804766455389,5.42481333507583
"12",2022-03-08 00:00:55,1,303,100,51.3497115377845,6.69063618783605
"13",2022-03-08 00:01:00,1,303,100,51.1174652913656,6.15442245529578
"14",2022-03-08 00:01:05,1,303,100,50.3351235233939,6.15886301510173
"15",2022-03-08 00:01:10,1,303,100,50.0452030842777,5.82128526402882
"16",2022-03-08 00:01:15,1,303,100,51.3567644736534,5.31081518210607
"17",2022-03-08 00:01:20,1,303,100,51.4885118900348,6.20590892009909
"18",2022-03-08 00:01:25,1,303,100,50.7784513806379,5.04453764491867
"19",2022-03-08 00:01:30,1,303,100,49.7199176508968,5.94312862660832
"20",2022-03-08 00:01:35,1,303,100,49.49679538064,5.80126468973044
"21",2022-03-08 00:01:40,1,303,100,52.2572537812266,5.6696278011691
"22",2022-03-08 00:01:45,1,303,100,50.2719987429941,5.77722164208201
"23",2022-03-08 00:01:50,1,303,100,52.1867368028051,5.63022803931398
"24",2022-03-08 00:01:55,1,303,100,51.0695146903046,5.28174651412057
"25",2022-03-08 00:02:00,1,303,100,50.8223770042181,6.26523722184876
"26",2022-03-08 00:02:05,1,303,100,50.4573687595589,5.48698710712782
"27",2022-03-08 00:02:10,1,303,100,51.1534090119037,5.97830987679106
"28",2022-03-08 00:02:15,1,303,100,51.3698793825365,5.9236730081579
"29",2022-03-08 00:02:20,1,303,100,50.5923671957183,5.63122761997127
"30",2022-03-08 00:02:25,1,303,100,50.3372167928153,5.93069976633961
"31",2022-03-08 00:02:30,1,303,100,52.0877497937825,5.77845992418202
"32",2022-03-08 00:02:35,1,303,100,52.1413073471448,5.89611377239089
"33",2022-03-08 00:02:40,1,303,100,49.2197323006965,6.23926337567869
"34",2022-03-08 00:02:45,1,303,100,50.242515808339,5.54751876425668
"35",2022-03-08 00:02:50,1,303,100,51.816369182733,6.05392353384349
"36",2022-03-08 00:02:55,1,303,100,50.3996642490118,5.23454221521568
"37",2022-03-08 00:03:00,1,303,100,51.8506630443623,5.47813296686055
"38",2022-03-08 00:03:05,1,303,100,50.9547000433975,5.85541176909586
"39",2022-03-08 00:03:10,1,303,100,50.5151974861361,5.54168020373097
"40",2022-03-08 00:03:15,1,303,100,50.2294638797998,5.53586481378698
"41",2022-03-08 00:03:20,1,303,100,51.8780913471807,5.39861461718766
"42",2022-03-08 00:03:25,1,303,100,51.7648855766661,5.84558472953142
"43",2022-03-08 00:03:30,1,303,100,50.3137626023045,5.61619337860699
"44",2022-03-08 00:03:35,1,303,100,50.6512132832361,5.62524130706648
"45",2022-03-08 00:03:40,1,303,100,50.3090165916942,5.52939211868032
"46",2022-03-08 00:03:45,1,303,100,50.151510579941,5.77356659287815
"47",2022-03-08 00:03:50,1,303,100,51.3068200790274,5.99412030446992
